App,Category,Reviews,Installs,Type,Content Rating,Last Updated,Current Ver
Tickets + PDA 2018 Exam,Auto & Vehicles,197136,"1,000,000+",Free,Everyone,"July 15, 2018",8.31
Pick Your Part Garage,Auto & Vehicles,142,"50,000+",Free,Everyone,"July 24, 2018",1.1.5.0
PakWheels: Buy & Sell Cars,Auto & Vehicles,15168,"1,000,000+",Free,Everyone,"July 27, 2018",10.0.2
Supervision service,Auto & Vehicles,2155,"500,000+",Free,Everyone,"July 30, 2018",1.10.3
Speed Camera Detector - Traffic & Speed Alert,Auto & Vehicles,138,"100,000+",Free,Everyone,"July 23, 2018",1.0
Used car search Goo net whole car Go to net,Auto & Vehicles,5414,"1,000,000+",Free,Everyone,"July 23, 2018",3.20.1
CarMax – Cars for Sale: Search Used Car Inventory,Auto & Vehicles,21777,"1,000,000+",Free,Everyone,"August 4, 2018",Varies with device
BEST CAR SOUNDS,Auto & Vehicles,348,"100,000+",Free,Everyone,"July 29, 2018",1.0.3
RST - Sale of cars on the PCT,Auto & Vehicles,250,"100,000+",Free,Everyone,"April 27, 2018",1.4
AutoScout24 Switzerland – Find your new car,Auto & Vehicles,13372,"1,000,000+",Free,Everyone,"August 3, 2018",Varies with device
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,Auto & Vehicles,7880,"100,000+",Free,Everyone,"May 10, 2018",4.6.5
SMS Park,Auto & Vehicles,3617,"100,000+",Free,Everyone,"May 16, 2018",2.8.2
SKencar,Auto & Vehicles,4806,"1,000,000+",Free,Everyone,"July 31, 2018",4.0.3
Fuelio: Gas log & costs,Auto & Vehicles,65786,"1,000,000+",Free,Everyone,"August 2, 2018",Varies with device
auto fines,Auto & Vehicles,31433,"1,000,000+",Free,Everyone,"August 2, 2018",1.40
"Used car is the first car - used car purchase, used car quotation, dealer information to",Auto & Vehicles,5097,"1,000,000+",Free,Everyone,"July 23, 2018",1.5.18
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),Auto & Vehicles,1754,"500,000+",Free,Everyone,"June 2, 2018",2.3.4
Inquiry Fines and Debits of Vehicles,Auto & Vehicles,2680,"500,000+",Free,Everyone,"March 20, 2018",1.03
Gas Station,Auto & Vehicles,1288,"100,000+",Free,Everyone,"April 21, 2018",2.17
Hush - Beauty for Everyone,Beauty,18900,"500,000+",Free,Everyone,"August 2, 2018",6.10.1
"ipsy: Makeup, Beauty, and Tips",Beauty,49790,"1,000,000+",Free,Everyone,"November 9, 2017",2.3.0
Natural recipes for your beauty,Beauty,1150,"100,000+",Free,Everyone,"May 15, 2018",4.0
"BestCam Selfie-selfie, beauty camera, photo editor",Beauty,1739,"500,000+",Free,Everyone,"July 12, 2018",1.0.6
Mirror - Zoom & Exposure -,Beauty,32090,"1,000,000+",Free,Everyone,"October 24, 2016",Varies with device
Beauty Selfie Camera,Beauty,2225,"500,000+",Free,Everyone,"February 28, 2018",1.6
Hairstyles step by step,Beauty,4369,"100,000+",Free,Everyone,"July 25, 2018",1.9
Filters for Selfie,Beauty,8572,"1,000,000+",Free,Everyone,"May 10, 2018",1.1.0
Tie - Always be happy,Beauty,964,"50,000+",Free,Everyone,"June 21, 2018",4.0
Ulta Beauty,Beauty,42050,"1,000,000+",Free,Everyone,"June 5, 2018",5.4
Prom MakeUp Tutorial,Beauty,104,"10,000+",Free,Everyone,"June 26, 2018",1.3
Selfie Camera,Beauty,17934,"1,000,000+",Free,Everyone,"September 12, 2017",Varies with device
Sweet Selfie Beauty Camera,Beauty,601,"100,000+",Free,Everyone,"June 2, 2018",2.0.0
Colors of white in Urdu,Beauty,36,"10,000+",Free,Everyone,"July 26, 2018",6.0
Selfie Camera Photo Editor & Filter & Sticker,Beauty,187,"50,000+",Free,Teen,"July 24, 2018",3.0.1
Eyes Makeup Beauty Tips,Beauty,30,"10,000+",Free,Everyone,"April 9, 2018",3.3.9
Photo Editor 2018,Beauty,134,"10,000+",Free,Everyone,"March 1, 2018",1.20
Step By Step Eyes Makeup Tutorial,Beauty,74,"10,000+",Free,Everyone,"April 5, 2018",2.3.09
Beauty Camera - Selfie Camera,Beauty,113715,"10,000,000+",Free,Everyone,"August 3, 2017",Varies with device
Girls Hairstyles,Beauty,3595,"500,000+",Free,Everyone,"May 24, 2018",Varies with device
Mirror Camera (Mirror + Selfie Camera),Beauty,9315,"1,000,000+",Free,Everyone,"November 21, 2017",1.4.2
Beauty Tips - Beauty Tips in Sinhala,Beauty,75,"50,000+",Free,Everyone,"October 18, 2017",1.0.0
Haircut Tutorials/Haircut Videos,Beauty,38,"10,000+",Free,Everyone,"May 29, 2018",1.0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",Beauty,26834,"1,000,000+",Free,Everyone,"July 24, 2018",18.5
"Sticker Camera - Selfie Filters, Beauty Camera",Beauty,2277,"500,000+",Free,Everyone,"July 12, 2018",1.1.0
Filters for B Live,Beauty,2280,"500,000+",Free,Everyone,"May 14, 2018",1.1.0
Facial Wrinkle Reduction,Beauty,184,"10,000+",Free,Everyone,"July 2, 2018",1.5
Makeup Videos,Beauty,9,"5,000+",Free,Everyone,"June 7, 2018",1.0
Discover Color,Beauty,364,"100,000+",Free,Everyone,"May 24, 2018",1.1
Eyeliner step by step 2018,Beauty,18,"5,000+",Free,Everyone,"June 1, 2018",1.2.13
Dresses Ideas & Fashions +3000,Beauty,473,"100,000+",Free,Mature 17+,"March 1, 2017",1.0.2.0
Step By Step Hairstyles For Women,Beauty,66,"10,000+",Free,Everyone,"April 5, 2018",3.1.89
Rainbow Camera,Beauty,3871,"1,000,000+",Free,Everyone,"July 30, 2018",2.2.0
Methods of teeth whitening,Beauty,257,"50,000+",Free,Everyone,"August 7, 2017",1.0
Girls hairstyles 2018,Beauty,62,"10,000+",Free,Everyone,"May 28, 2018",1.9.2
Wattpad 📖 Free Books,Books & Reference,2914724,"100,000,000+",Free,Teen,"August 1, 2018",Varies with device
E-Book Read - Read Book for free,Books & Reference,1857,"50,000+",Free,Everyone,"August 3, 2018",1.3.2
Download free book with green book,Books & Reference,4478,"100,000+",Free,Everyone 10+,"July 31, 2017",1.1
Wikipedia,Books & Reference,577550,"10,000,000+",Free,Everyone,"August 2, 2018",Varies with device
Amazon Kindle,Books & Reference,814080,"100,000,000+",Free,Teen,"July 27, 2018",Varies with device
Cool Reader,Books & Reference,246315,"10,000,000+",Free,Everyone,"July 17, 2015",Varies with device
Dictionary - Merriam-Webster,Books & Reference,454060,"10,000,000+",Free,Everyone,"May 18, 2018",Varies with device
NOOK: Read eBooks & Magazines,Books & Reference,155446,"10,000,000+",Free,Teen,"April 25, 2018",Varies with device
Free Panda Radio Music,Books & Reference,418,"100,000+",Free,Everyone,"March 27, 2018",2.1
Book store,Books & Reference,22486,"1,000,000+",Free,Teen,"June 6, 2018",3.2.1
FBReader: Favorite Book Reader,Books & Reference,203130,"10,000,000+",Free,Everyone,"June 28, 2018",Varies with device
English Grammar Complete Handbook,Books & Reference,1435,"500,000+",Free,Everyone,"January 21, 2018",1.0
Free Books - Spirit Fanfiction and Stories,Books & Reference,116507,"1,000,000+",Free,Teen,"August 1, 2018",2.0.075
Google Play Books,Books & Reference,1433233,"1,000,000,000+",Free,Teen,"August 3, 2018",Varies with device
AlReader -any text book reader,Books & Reference,90468,"5,000,000+",Free,Everyone,"May 27, 2018",1.911805270
Offline English Dictionary,Books & Reference,860,"100,000+",Free,Everyone,"July 17, 2018",1.0
Oxford Dictionary of English : Free,Books & Reference,363934,"10,000,000+",Free,Everyone,"July 11, 2018",9.1.363
Offline: English to Tagalog Dictionary,Books & Reference,967,"500,000+",Free,Everyone,"August 4, 2018",1.1.6
Spanish English Translator,Books & Reference,87873,"10,000,000+",Free,Teen,"May 28, 2018",Varies with device
FamilySearch Tree,Books & Reference,17506,"1,000,000+",Free,Everyone,"July 20, 2018",2.3.18
Cloud of Books,Books & Reference,1862,"1,000,000+",Free,Everyone,"April 27, 2018",2.2.5
Recipes of Prophetic Medicine for free,Books & Reference,2084,"500,000+",Free,Everyone,"May 17, 2018",15.0
ReadEra – free ebook reader,Books & Reference,47303,"1,000,000+",Free,Everyone,"June 2, 2018",18.05.31+530
NOOK App for NOOK Devices,Books & Reference,19080,"500,000+",Free,Everyone,"April 25, 2018",Varies with device
Ebook Reader,Books & Reference,85842,"5,000,000+",Free,Everyone,"June 25, 2018",5.0.6
Litnet - E-books,Books & Reference,7831,"100,000+",Free,Teen,"July 4, 2018",1.2.3
Read books online,Books & Reference,91615,"5,000,000+",Free,Mature 17+,"June 29, 2018",3.12
English to Urdu Dictionary,Books & Reference,4620,"500,000+",Free,Everyone,"November 23, 2017",2.0
eBoox: book reader fb2 epub zip,Books & Reference,21336,"1,000,000+",Free,Everyone,"June 20, 2018",1.28
English Persian Dictionary,Books & Reference,26875,"500,000+",Free,Everyone,"August 1, 2018",6.0.8
Flybook,Books & Reference,1778,"500,000+",Free,Mature 17+,"October 16, 2014",1.0.3
All Maths Formulas,Books & Reference,2709,"1,000,000+",Free,Everyone,"July 11, 2018",1.9
Ancestry,Books & Reference,64513,"5,000,000+",Free,Everyone,"July 31, 2018",Varies with device
HTC Help,Books & Reference,8342,"10,000,000+",Free,Everyone,"August 28, 2017",9.00.950462
English translation from Bengali,Books & Reference,527,"100,000+",Free,Everyone,"March 31, 2018",14.0
Pdf Book Download - Read Pdf Book,Books & Reference,1322,"100,000+",Free,Everyone,"May 28, 2018",6.0
Free Book Reader,Books & Reference,1680,"100,000+",Free,Everyone,"August 20, 2016",3.05
eBoox new: Reader for fb2 epub zip books,Books & Reference,2739,"50,000+",Free,Everyone,"July 17, 2018",2.0
"Only 30 days in English, the guideline is guaranteed",Books & Reference,1065,"500,000+",Free,Everyone,"June 16, 2018",1.5
Moon+ Reader,Books & Reference,233757,"10,000,000+",Free,Everyone,"May 1, 2018",Varies with device
English-Myanmar Dictionary,Books & Reference,8788,"1,000,000+",Free,Everyone,"July 28, 2018",2.5.3
Golden Dictionary (EN-AR),Books & Reference,51269,"1,000,000+",Free,Everyone,"July 19, 2018",7.0.4.6
All Language Translator Free,Books & Reference,30105,"1,000,000+",Free,Everyone,"July 29, 2018",1.15
Azpen eReader,Books & Reference,156,"500,000+",Free,Everyone,"February 15, 2018",3.1.7.9
English Dictionary - Offline,Books & Reference,341157,"10,000,000+",Free,Everyone 10+,"March 20, 2018",3.9.1
Visual Voicemail by MetroPCS,Business,16129,"10,000,000+",Free,Everyone,"July 30, 2018",Varies with device
Indeed Job Search,Business,674730,"50,000,000+",Free,Everyone,"May 21, 2018",Varies with device
Uber Driver,Business,1254730,"10,000,000+",Free,Everyone,"August 3, 2018",Varies with device
ADP Mobile Solutions,Business,85185,"5,000,000+",Free,Everyone,"July 17, 2018",3.4.2
Snag - Jobs Hiring Now,Business,32584,"1,000,000+",Free,Everyone,"May 4, 2018",Varies with device
Docs To Go™ Free Office Suite,Business,217730,"50,000,000+",Free,Everyone,"April 2, 2018",Varies with device
Google My Business,Business,70991,"5,000,000+",Free,Everyone,"July 24, 2018",2.19.0.204537701
OfficeSuite : Free Office + PDF Editor,Business,1002861,"100,000,000+",Free,Everyone,"August 2, 2018",9.7.14188
USPS MOBILE®,Business,16589,"1,000,000+",Free,Everyone,"June 14, 2018",4.9.10
Job Search by ZipRecruiter,Business,148945,"1,000,000+",Free,Everyone,"July 19, 2018",5.2.8
Curriculum vitae App CV Builder Free Resume Maker,Business,4458,"500,000+",Free,Everyone,"July 8, 2018",3.3
Google Primer,Business,62272,"10,000,000+",Free,Everyone,"June 26, 2018",3.550.2
Alba Heaven - Alvarez Job Portal Services,Business,8941,"5,000,000+",Free,Everyone,"July 31, 2018",4.6.30
SuperLivePro,Business,46353,"1,000,000+",Free,Everyone,"April 13, 2016",2.8
Facebook Pages Manager,Business,1279184,"50,000,000+",Free,Everyone,"August 2, 2018",Varies with device
OfficeSuite Pro + PDF (Trial),Business,88073,"10,000,000+",Free,Everyone,"July 9, 2018",Varies with device
My Space - Employment Center,Business,67000,"1,000,000+",Free,Everyone,"July 17, 2018",Varies with device
Box,Business,159872,"10,000,000+",Free,Everyone,"July 31, 2018",Varies with device
Polaris Office for LG,Business,30847,"5,000,000+",Free,Everyone,"February 8, 2018",7.3.21
Call Blocker,Business,188841,"5,000,000+",Free,Everyone,"June 21, 2018",1.1.13
Jobs in Alabama - Jobs in Alba,Business,11622,"5,000,000+",Free,Everyone,"July 26, 2018",Varies with device
Square Point of Sale - POS,Business,95912,"5,000,000+",Free,Everyone,"July 30, 2018",Varies with device
Plugin:AOT v5.0,Business,4034,"100,000+",Free,Everyone,"September 11, 2015",3.0.1.11 (Build 311)
Kariyer.net,Business,45964,"1,000,000+",Free,Everyone,"July 18, 2018",5.1.5
SEEK Job Search,Business,14955,"1,000,000+",Free,Everyone,"July 30, 2018",Varies with device
Become a Job - Find a job or advertise,Business,6903,"1,000,000+",Free,Everyone,"July 10, 2018",2.3.6
ZOOM Cloud Meetings,Business,31614,"10,000,000+",Free,Everyone,"July 20, 2018",4.1.28165.0716
Easy Installer - Apps On SD,Business,23055,"5,000,000+",Free,Everyone,"June 8, 2018",Varies with device
Facebook Ads Manager,Business,19023,"1,000,000+",Free,Everyone,"August 1, 2018",99.0.0.35.75
"IndiaMART: Search Products, Buy, Sell & Trade",Business,207372,"5,000,000+",Free,Everyone,"August 2, 2018",12.2.4
ViettelPost express delivery,Business,1225,"100,000+",Free,Everyone,"August 1, 2018",1.0.6.8
MyASUS - Service Center,Business,380837,"10,000,000+",Free,Everyone,"July 4, 2018",3.4.5
Job Korea - Career Jobs,Business,10600,"1,000,000+",Free,Everyone,"August 1, 2018",2.5.6
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",Business,74359,"1,000,000+",Free,Everyone,"July 27, 2018",1.12.5
Myanmar 2D/3D,Business,822,"100,000+",Free,Everyone,"June 8, 2018",1.5
Quick PDF Scanner + OCR FREE,Business,80805,"5,000,000+",Free,Everyone,"February 26, 2018",Varies with device
sABN,Business,2287,"1,000,000+",Free,Everyone,"March 26, 2018",4.9
ATI Cargoes and Transportation,Business,4162,"100,000+",Free,Everyone,"July 24, 2018",0.9.4
Secure Folder,Business,14760,"50,000,000+",Free,Everyone,"January 31, 2018",1.1.07.6
UPS Mobile,Business,23243,"5,000,000+",Free,Everyone,"June 25, 2018",Varies with device
SignEasy | Sign and Fill PDF and other Documents,Business,8978,"1,000,000+",Free,Everyone,"July 25, 2018",Varies with device
Genius Scan - PDF Scanner,Business,42492,"1,000,000+",Free,Everyone,"July 11, 2018",Varies with device
Tiny Scanner - PDF Scanner App,Business,286897,"10,000,000+",Free,Everyone,"May 30, 2017",1.2.6
Fast Scanner : Free PDF Scan,Business,103755,"10,000,000+",Free,Everyone,"July 11, 2018",3.9.2
Mobile Doc Scanner (MDScan) Lite,Business,46505,"1,000,000+",Free,Everyone,"August 2, 2018",3.4.49
TurboScan: scan documents and receipts in PDF,Business,11442,"100,000+",Paid,Everyone,"March 25, 2018",1.5.2
Tiny Scanner Pro: PDF Doc Scan,Business,10295,"100,000+",Paid,Everyone,"April 11, 2017",3.4.6
Zenefits,Business,296,"50,000+",Free,Everyone,"June 15, 2018",3.2.1
Google Ads,Business,29313,"5,000,000+",Free,Everyone,"July 30, 2018",1.12.0
Slack,Business,51507,"5,000,000+",Free,Everyone,"August 2, 2018",Varies with device
FreshBooks Classic,Business,1802,"100,000+",Free,Everyone,"April 18, 2018",1.7.14
Insightly CRM,Business,1383,"100,000+",Free,Everyone,"July 12, 2018",3.24.1
QuickBooks Accounting: Invoicing & Expenses,Business,23175,"1,000,000+",Free,Everyone,"July 13, 2018",18.7
HipChat - Chat Built for Teams,Business,5868,"500,000+",Free,Everyone,"July 3, 2018",3.19.005
Xero Accounting Software,Business,2111,"100,000+",Free,Everyone,"July 30, 2018",Varies with device
"MailChimp - Email, Marketing Automation",Business,5448,"500,000+",Free,Everyone,"July 25, 2018",4.9.1
Crew - Free Messaging and Scheduling,Business,4159,"500,000+",Free,Everyone,"July 20, 2018",6.1.2
Asana: organize team projects,Business,20815,"1,000,000+",Free,Everyone,"July 26, 2018",6.4.4
Google Analytics,Business,78662,"1,000,000+",Free,Everyone,"February 13, 2018",3.7.5
AdWords Express,Business,7149,"1,000,000+",Free,Everyone,"July 31, 2018",2.6.158
Accounting App - Zoho Books,Business,3079,"100,000+",Free,Everyone,"August 2, 2018",5.20.7
Invoice & Time Tracking - Zoho,Business,5800,"100,000+",Free,Everyone,"August 2, 2018",5.20.7
join.me - Simple Meetings,Business,6989,"1,000,000+",Free,Everyone,"July 16, 2018",4.3.0.508
Invoice 2go — Professional Invoices and Estimates,Business,16422,"1,000,000+",Free,Everyone,"August 1, 2018",10.46.2
Cisco Webex Meetings,Business,108741,"10,000,000+",Free,Everyone,"July 20, 2018",11.1.0
ScreenMeet. Easy Phone Meeting,Business,624,"100,000+",Free,Everyone,"March 22, 2018",1.2.287
Cisco Webex Teams,Business,1661,"100,000+",Free,Everyone,"August 2, 2018",3.0.4651
Microsoft Remote Desktop,Business,97702,"5,000,000+",Free,Everyone,"July 11, 2018",Varies with device
Start Meeting,Business,308,"50,000+",Free,Everyone,"May 29, 2018",3.1.4.0
ClickMeeting Webinars,Business,5211,"1,000,000+",Free,Everyone,"July 30, 2018",3.3.0
BlueJeans for Android,Business,1058,"500,000+",Free,Everyone,"June 29, 2018",2.22.397
Skype for Business for Android,Business,78172,"10,000,000+",Free,Everyone,"August 2, 2018",Varies with device
Verify - Receipts & Expenses,Business,413,"10,000+",Free,Everyone,"July 25, 2018",2.0.19
LINE WEBTOON - Free Comics,Comics,1013635,"10,000,000+",Free,Teen,"July 31, 2018",Varies with device
Manga Master - Best manga & comic reader,Comics,24005,"500,000+",Free,Adults only 18+,"July 4, 2018",1.1.7.0
GANMA! - All original stories free of charge for all original comics,Comics,57106,"1,000,000+",Free,Teen,"July 23, 2018",2.11.3
Röhrich Werner Soundboard,Comics,2249,"500,000+",Free,Everyone,"November 16, 2017",1.08
Unicorn Pokez - Color By Number,Comics;Creativity,516,"50,000+",Free,Everyone,"August 3, 2018",1.0.6
MangaToon - Comics updated Daily,Comics,834,"50,000+",Free,Mature 17+,"August 1, 2018",1.0.8
Manga Net – Best Online Manga Reader,Comics,1010,"50,000+",Free,Mature 17+,"July 7, 2018",1.5
Manga Rock - Best Manga Reader,Comics,238970,"1,000,000+",Free,Teen,"July 9, 2018",3.4.3_world
Manga - read Thai translation,Comics,302,"10,000+",Free,Teen,"July 3, 2018",1.0
The Vietnam Story - Fun Stories,Comics,438,"10,000+",Free,Everyone,"December 27, 2017",1.0
Dragon Ball Wallpaper - Ringtones,Comics,73,"10,000+",Free,Everyone,"July 23, 2018",1.9
Funny Jokes Photos,Comics,39,"10,000+",Free,Everyone 10+,"July 3, 2018",1.1
Truyện Vui Tý Quậy,Comics,144,"10,000+",Free,Everyone,"July 19, 2018",3.0
Comic Es - Shojo manga / love comics free of charge ♪ ♪,Comics,2181,"100,000+",Free,Teen,"March 5, 2018",1.2.12
comico Popular Original Cartoon Updated Everyday Comico,Comics,93965,"5,000,000+",Free,Teen,"July 3, 2018",6.3.0
